8,2,3,4,5,6,7,8
NB inch,NB mm,F to F,Base to CL,Removal Dist,Drn Size,Screne Area CM20,Wt Kg
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,7.5,4,165,0+1/2,80,3.5
0+3/4,20,7.875,4.475,165,0+1/2,80,4.5
1,25,8.875,4.375,185,0+1/2,126.5,6.5
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,40,11.625,5.5,230,0+1/2,199,11.5
2,50,13.375,7.5,285,0+1/2,333,18
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A
3,80,17,9.25,355,0+1/2,574.5,35.5
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A
4,100,20.5,10.875,410,0+1/2,923.4,65.5
5,125,N/A,N/A,N/A,N/A,N/A,N/A
6,150,24.75,14.125,552,0+3/4,1894,125
8,200,30.75,18.125,705,0+3/4,2870,233
10,250,39,25.125,1000,0+3/4,5000,420
12,300,43.75,27.125,1040,0+3/4,6375,445
